,Instrument,Date,Total Equity
19868,VRTX.O,1990-12-31T00:00:00Z,
19869,VRTX.O,1990-12-31T00:00:00Z,
19870,VRTX.O,1990-12-31T00:00:00Z,
19871,VRTX.O,1990-12-31T00:00:00Z,
19872,VRTX.O,1990-12-31T00:00:00Z,
19873,VRTX.O,1990-12-31T00:00:00Z,
19874,VRTX.O,1990-12-31T00:00:00Z,
19875,VRTX.O,1990-12-31T00:00:00Z,
19876,VRTX.O,1990-12-31T00:00:00Z,
19877,VRTX.O,1990-12-31T00:00:00Z,
19878,VRTX.O,1990-12-31T00:00:00Z,
19879,VRTX.O,1990-12-31T00:00:00Z,5412000.0
19880,VRTX.O,1991-12-31T00:00:00Z,52207000.0
19881,VRTX.O,1992-12-31T00:00:00Z,43850000.0
19882,VRTX.O,1993-12-31T00:00:00Z,49520000.0
19883,VRTX.O,1994-12-31T00:00:00Z,105478000.0
19884,VRTX.O,1995-12-31T00:00:00Z,85272000.0
19885,VRTX.O,1996-12-31T00:00:00Z,146010000.0
19886,VRTX.O,1997-12-31T00:00:00Z,330365000.0
19887,VRTX.O,1998-12-31T00:00:00Z,283755000.0
19888,VRTX.O,1999-12-31T00:00:00Z,249647000.0
19889,VRTX.O,2000-12-31T00:00:00Z,514011000.0
19890,VRTX.O,2001-12-31T00:00:00Z,475351000.0
19891,VRTX.O,2002-12-31T00:00:00Z,378581000.0
19892,VRTX.O,2003-12-31T00:00:00Z,192845000.0
19893,VRTX.O,2004-12-31T00:00:00Z,35441000.0
19894,VRTX.O,2005-12-31T00:00:00Z,239176000.0
19895,VRTX.O,2006-12-31T00:00:00Z,505935000.0
19896,VRTX.O,2007-12-31T00:00:00Z,271295000.0
19897,VRTX.O,2008-12-31T00:00:00Z,238874000.0
19898,VRTX.O,2009-12-31T00:00:00Z,1096346000.0
19899,VRTX.O,2010-12-31T00:00:00Z,503973000.0
19900,VRTX.O,2011-12-31T00:00:00Z,786843000.0
19901,VRTX.O,2012-12-31T00:00:00Z,999180000.0
19902,VRTX.O,2013-12-31T00:00:00Z,1356405000.0
19903,VRTX.O,2014-12-31T00:00:00Z,1075006000.0
19904,VRTX.O,2015-12-31T00:00:00Z,939967000.0
19905,VRTX.O,2016-12-31T00:00:00Z,1156582000.0
19906,VRTX.O,2017-12-31T00:00:00Z,2028579000.0
19907,VRTX.O,2018-12-31T00:00:00Z,4435203000.0
19908,VRTX.O,2019-12-31T00:00:00Z,6085244000.0
19909,VRTX.O,2020-12-31T00:00:00Z,8686815000.0
19910,VTRS.O,1984-03-31T00:00:00Z,
19911,VTRS.O,1984-03-31T00:00:00Z,
19912,VTRS.O,1984-03-31T00:00:00Z,
19913,VTRS.O,1984-03-31T00:00:00Z,
19914,VTRS.O,1984-03-31T00:00:00Z,
19915,VTRS.O,1984-03-31T00:00:00Z,18055000.0
19916,VTRS.O,1985-03-31T00:00:00Z,29176000.0
19917,VTRS.O,1986-03-31T00:00:00Z,47543000.0
19918,VTRS.O,1987-03-31T00:00:00Z,67982000.0
19919,VTRS.O,1988-03-31T00:00:00Z,89662000.0
19920,VTRS.O,1989-03-31T00:00:00Z,104278000.0
19921,VTRS.O,1990-03-31T00:00:00Z,127233000.0
19922,VTRS.O,1991-03-31T00:00:00Z,167531000.0
19923,VTRS.O,1992-03-31T00:00:00Z,203452000.0
19924,VTRS.O,1993-03-31T00:00:00Z,295972000.0
19925,VTRS.O,1994-03-31T00:00:00Z,379969000.0
19926,VTRS.O,1995-03-31T00:00:00Z,482728000.0
19927,VTRS.O,1996-03-31T00:00:00Z,616441000.0
19928,VTRS.O,1997-03-31T00:00:00Z,659740000.0
19929,VTRS.O,1998-03-31T00:00:00Z,744465000.0
19930,VTRS.O,1999-03-31T00:00:00Z,1059905000.0
19931,VTRS.O,2000-03-31T00:00:00Z,1203722000.0
19932,VTRS.O,2001-03-31T00:00:00Z,1132536000.0
19933,VTRS.O,2002-03-31T00:00:00Z,1402239000.0
19934,VTRS.O,2003-03-31T00:00:00Z,1446332000.0
19935,VTRS.O,2004-03-31T00:00:00Z,1659788000.0
19936,VTRS.O,2005-03-31T00:00:00Z,1845936000.0
19937,VTRS.O,2006-03-31T00:00:00Z,787651000.0
19938,VTRS.O,2006-03-31T00:00:00Z,787651000.0
19939,VTRS.O,2007-12-31T00:00:00Z,3403426000.0
19940,VTRS.O,2008-12-31T00:00:00Z,2757733000.0
19941,VTRS.O,2009-12-31T00:00:00Z,3131146000.0
19942,VTRS.O,2010-12-31T00:00:00Z,3601879000.0
19943,VTRS.O,2011-12-31T00:00:00Z,3491775000.0
19944,VTRS.O,2012-12-31T00:00:00Z,3340718000.0
19945,VTRS.O,2013-12-31T00:00:00Z,2941800000.0
19946,VTRS.O,2014-12-31T00:00:00Z,3255900000.0
19947,VTRS.O,2015-12-31T00:00:00Z,9764400000.0
19948,VTRS.O,2016-12-31T00:00:00Z,11116200000.0
19949,VTRS.O,2017-12-31T00:00:00Z,13307600000.0
19950,VTRS.O,2018-12-31T00:00:00Z,12167100000.0
19951,VTRS.O,2019-12-31T00:00:00Z,11883800000.0
19952,VTRS.O,2020-12-31T00:00:00Z,22954100000.0
19954,WBA.O,1983-08-31T00:00:00Z,
19955,WBA.O,1983-08-31T00:00:00Z,
19956,WBA.O,1983-08-31T00:00:00Z,
19957,WBA.O,1983-08-31T00:00:00Z,
19958,WBA.O,1983-08-31T00:00:00Z,351705000.0
19959,WBA.O,1984-08-31T00:00:00Z,414618000.0
19960,WBA.O,1985-08-31T00:00:00Z,480974000.0
19961,WBA.O,1986-08-31T00:00:00Z,553611000.0
19962,WBA.O,1987-08-31T00:00:00Z,622328000.0
19963,WBA.O,1988-08-31T00:00:00Z,712644000.0
19964,WBA.O,1989-08-31T00:00:00Z,823401000.0
19965,WBA.O,1990-08-31T00:00:00Z,947249000.0
19966,WBA.O,1991-08-31T00:00:00Z,1081157000.0
19967,WBA.O,1992-08-31T00:00:00Z,1233310000.0
19968,WBA.O,1993-08-31T00:00:00Z,1378751000.0
19969,WBA.O,1994-08-31T00:00:00Z,1573640000.0
19970,WBA.O,1995-08-31T00:00:00Z,1792586000.0
19971,WBA.O,1996-08-31T00:00:00Z,2043105000.0
19972,WBA.O,1997-08-31T00:00:00Z,2373000000.0
19973,WBA.O,1998-08-31T00:00:00Z,2849000000.0
19974,WBA.O,1999-08-31T00:00:00Z,3484300000.0
19975,WBA.O,2000-08-31T00:00:00Z,4234000000.0
19976,WBA.O,2001-08-31T00:00:00Z,5207200000.0
19977,WBA.O,2002-08-31T00:00:00Z,6230200000.0
19978,WBA.O,2003-08-31T00:00:00Z,7117800000.0
19979,WBA.O,2004-08-31T00:00:00Z,8139700000.0
19980,WBA.O,2005-08-31T00:00:00Z,8889700000.0
19981,WBA.O,2006-08-31T00:00:00Z,10115800000.0
19982,WBA.O,2007-08-31T00:00:00Z,11104300000.0
19983,WBA.O,2008-08-31T00:00:00Z,12869000000.0
19984,WBA.O,2009-08-31T00:00:00Z,14376000000.0
19985,WBA.O,2010-08-31T00:00:00Z,14400000000.0
19986,WBA.O,2011-08-31T00:00:00Z,14847000000.0
19987,WBA.O,2012-08-31T00:00:00Z,18236000000.0
19988,WBA.O,2013-08-31T00:00:00Z,19454000000.0
19989,WBA.O,2014-08-31T00:00:00Z,20513000000.0
19990,WBA.O,2015-08-31T00:00:00Z,30861000000.0
19991,WBA.O,2016-08-31T00:00:00Z,29880000000.0
19992,WBA.O,2017-08-31T00:00:00Z,27466000000.0
