,Instrument,Date,Free Cash Flow
419,APD,2007-09-30T00:00:00Z,505000000.0
420,APD,2008-09-30T00:00:00Z,548100000.0
421,APD,2009-09-30T00:00:00Z,-60800000.0
422,APD,2010-09-30T00:00:00Z,406400000.0
423,APD,2011-09-30T00:00:00Z,239900000.0
424,APD,2012-09-30T00:00:00Z,-169900000.0
425,APD,2013-09-30T00:00:00Z,-140300000.0
426,APD,2014-09-30T00:00:00Z,-37500000.0
427,APD,2015-09-30T00:00:00Z,-15500000.0
428,APD,2016-09-30T00:00:00Z,347700000.0
429,APD,2017-09-30T00:00:00Z,193400000.0
430,APD,2018-09-30T00:00:00Z,232000000.0
431,APD,2019-09-30T00:00:00Z,-103900000.0
432,APD,2020-09-30T00:00:00Z,-482200000.0
433,APD,2021-09-30T00:00:00Z,-355000000.0
435,ALK,1986-12-31T00:00:00Z,
436,ALK,1986-12-31T00:00:00Z,
437,ALK,1986-12-31T00:00:00Z,
438,ALK,1986-12-31T00:00:00Z,
439,ALK,1986-12-31T00:00:00Z,
440,ALK,1986-12-31T00:00:00Z,
441,ALK,1986-12-31T00:00:00Z,
442,ALK,1986-12-31T00:00:00Z,
443,ALK,1986-12-31T00:00:00Z,-33506000.0
444,ALK,1987-12-31T00:00:00Z,-32761000.0
445,ALK,1988-12-31T00:00:00Z,-46436000.0
446,ALK,1989-12-31T00:00:00Z,-23063000.0
447,ALK,1991-12-31T00:00:00Z,-69573000.0
448,ALK,1991-12-31T00:00:00Z,-69573000.0
449,ALK,1992-12-31T00:00:00Z,-273187000.0
450,ALK,1993-12-31T00:00:00Z,-6537000.0
451,ALK,1994-12-31T00:00:00Z,-102561000.0
452,ALK,1995-12-31T00:00:00Z,33000000.0
453,ALK,1996-12-31T00:00:00Z,-68100000.0
454,ALK,1997-12-31T00:00:00Z,-186100000.0
455,ALK,1998-12-31T00:00:00Z,-157500000.0
456,ALK,1999-12-31T00:00:00Z,-110600000.0
457,ALK,2000-12-31T00:00:00Z,-179000000.0
458,ALK,2001-12-31T00:00:00Z,-240200000.0
459,ALK,2002-12-31T00:00:00Z,-8100000.0
460,ALK,2003-12-31T00:00:00Z,-78300000.0
461,ALK,2004-12-31T00:00:00Z,67000000.0
462,ALK,2005-12-31T00:00:00Z,-196600000.0
463,ALK,2006-12-31T00:00:00Z,-579100000.0
464,ALK,2007-12-31T00:00:00Z,-532700000.0
465,ALK,2008-12-31T00:00:00Z,-344100000.0
466,ALK,2009-12-31T00:00:00Z,-97600000.0
467,ALK,2010-12-31T00:00:00Z,296300000.0
468,ALK,2011-12-31T00:00:00Z,104000000.0
469,ALK,2012-12-31T00:00:00Z,62000000.0
470,ALK,2013-12-31T00:00:00Z,181000000.0
471,ALK,2014-12-31T00:00:00Z,137000000.0
472,ALK,2015-12-31T00:00:00Z,235000000.0
473,ALK,2016-12-31T00:00:00Z,346000000.0
474,ALK,2017-12-31T00:00:00Z,-79000000.0
475,ALK,2018-12-31T00:00:00Z,-283000000.0
476,ALK,2019-12-31T00:00:00Z,323000000.0
477,ALK,2020-12-31T00:00:00Z,-1177000000.0
478,ALB,1991-12-31T00:00:00Z,
479,ALB,1991-12-31T00:00:00Z,
480,ALB,1991-12-31T00:00:00Z,
481,ALB,1991-12-31T00:00:00Z,
482,ALB,1991-12-31T00:00:00Z,
483,ALB,1991-12-31T00:00:00Z,
484,ALB,1991-12-31T00:00:00Z,
485,ALB,1991-12-31T00:00:00Z,
486,ALB,1991-12-31T00:00:00Z,
487,ALB,1991-12-31T00:00:00Z,
488,ALB,1991-12-31T00:00:00Z,
489,ALB,1991-12-31T00:00:00Z,
490,ALB,1991-12-31T00:00:00Z,
491,ALB,1991-12-31T00:00:00Z,-6002000.0
492,ALB,1992-12-31T00:00:00Z,16208000.0
493,ALB,1993-12-31T00:00:00Z,22185000.0
494,ALB,1994-12-31T00:00:00Z,64608000.0
495,ALB,1995-12-31T00:00:00Z,46406000.0
496,ALB,1996-12-31T00:00:00Z,122431000.0
497,ALB,1997-12-31T00:00:00Z,47179000.0
498,ALB,1998-12-31T00:00:00Z,63726000.0
499,ALB,1999-12-31T00:00:00Z,68213000.0
500,ALB,2000-12-31T00:00:00Z,103526000.0
501,ALB,2001-12-31T00:00:00Z,72030000.0
502,ALB,2002-12-31T00:00:00Z,92263000.0
503,ALB,2003-12-31T00:00:00Z,93927000.0
504,ALB,2004-12-31T00:00:00Z,74313000.0
505,ALB,2005-12-31T00:00:00Z,116718000.0
506,ALB,2006-12-31T00:00:00Z,112765000.0
507,ALB,2007-12-31T00:00:00Z,190870000.0
508,ALB,2008-12-31T00:00:00Z,159525000.0
509,ALB,2009-12-31T00:00:00Z,122583000.0
510,ALB,2010-12-31T00:00:00Z,274999000.0
511,ALB,2011-12-31T00:00:00Z,334663000.0
512,ALB,2012-12-31T00:00:00Z,36813000.0
513,ALB,2013-12-31T00:00:00Z,277944000.0
514,ALB,2014-12-31T00:00:00Z,103617000.0
515,ALB,2015-12-31T00:00:00Z,212735000.0
516,ALB,2016-12-31T00:00:00Z,319994000.0
517,ALB,2017-12-31T00:00:00Z,120549000.0
518,ALB,2018-12-31T00:00:00Z,-19812000.0
519,ALB,2019-12-31T00:00:00Z,-315727000.0
520,ALB,2020-12-31T00:00:00Z,-461217000.0
521,ARE,1995-12-31T00:00:00Z,
522,ARE,1995-12-31T00:00:00Z,
523,ARE,1995-12-31T00:00:00Z,
524,ARE,1995-12-31T00:00:00Z,
525,ARE,1995-12-31T00:00:00Z,
526,ARE,1995-12-31T00:00:00Z,
527,ARE,1995-12-31T00:00:00Z,
528,ARE,1995-12-31T00:00:00Z,
529,ARE,1995-12-31T00:00:00Z,
530,ARE,1995-12-31T00:00:00Z,
531,ARE,1995-12-31T00:00:00Z,
532,ARE,1995-12-31T00:00:00Z,
533,ARE,1995-12-31T00:00:00Z,
534,ARE,1995-12-31T00:00:00Z,
535,ARE,1995-12-31T00:00:00Z,
536,ARE,1995-12-31T00:00:00Z,
537,ARE,1995-12-31T00:00:00Z,875000.0
538,ARE,1995-12-31T00:00:00Z,875000.0
539,ARE,1995-12-31T00:00:00Z,875000.0
540,ARE,1997-12-31T00:00:00Z,-98516000.0
541,ARE,1998-12-31T00:00:00Z,-230231000.0
542,ARE,1999-12-31T00:00:00Z,-94834000.0
543,ARE,2000-12-31T00:00:00Z,-100730000.0
544,ARE,2001-12-31T00:00:00Z,-162249000.0
545,ARE,2002-12-31T00:00:00Z,-192279000.0
546,ARE,2003-12-31T00:00:00Z,-146586000.0
547,ARE,2004-12-31T00:00:00Z,-421072000.0
